row,col,R,G,B,R_norm,G_norm,B_norm,brightness
4,37,255,255,255,1.0,1.0,1.0,light
4,38,255,255,255,1.0,1.0,1.0,light
4,39,255,255,255,1.0,1.0,1.0,light
4,40,255,255,255,1.0,1.0,1.0,light
4,41,255,255,255,1.0,1.0,1.0,light
4,42,255,255,255,1.0,1.0,1.0,light
4,43,255,255,255,1.0,1.0,1.0,light
4,44,255,255,255,1.0,1.0,1.0,light
4,45,255,255,255,1.0,1.0,1.0,light
4,46,255,255,255,1.0,1.0,1.0,light
4,47,255,255,255,1.0,1.0,1.0,light
4,48,255,255,255,1.0,1.0,1.0,light
4,49,255,255,255,1.0,1.0,1.0,light
4,50,255,255,255,1.0,1.0,1.0,light
4,51,255,255,255,1.0,1.0,1.0,light
4,52,255,255,255,1.0,1.0,1.0,light
4,53,255,255,255,1.0,1.0,1.0,light
4,54,255,255,255,1.0,1.0,1.0,light
4,55,255,255,255,1.0,1.0,1.0,light
4,56,255,255,255,1.0,1.0,1.0,light
4,57,255,255,255,1.0,1.0,1.0,light
4,58,255,255,255,1.0,1.0,1.0,light
4,59,255,255,255,1.0,1.0,1.0,light
4,60,255,255,255,1.0,1.0,1.0,light
4,61,255,255,255,1.0,1.0,1.0,light
4,62,255,255,255,1.0,1.0,1.0,light
4,63,255,255,255,1.0,1.0,1.0,light
